id;costs;cocode;conam;cocbei;conbei;cosat;conom;coseri;codir;colmd;couid
1;Buckinghamshire infrastructure Cotton;Shirt SAS ;system Avon Refined;Rubber;Ports;Team-oriented C;46760;firewall Hondur;Sausages Burgs connect;2021-12-25;Computer zero Ball
2;Garden;national c;hacking;open;Security;Rustic Enhanced;97775;IB transmitting;card Optimization Court;2021-12-25;Computer azure
3;Refined;Iowa red T;Handcrafted invoice;invoic;secured viral;Division incuba;96952;Industrial Isla;Account;2021-12-25;markets cyan Sleek
4;Solutions Kentucky Texas;Rubber gen;Shoes Investor interfaces;Buckin;Stravenue copying;Computer 3rd br;32260;Investment Buck;Regional strategize;2021-12-25;Fish analyzing
5;initiatives;Metrics;monitor;Invest;Marketing Business-focused;Steel applicati;78661;migration lime;Awesome;2021-12-25;e-enable Avon archive
6;quantify niches;transmitti;Account Buckinghamshire;Bedfor;solutions;Gloves initiati;2304;Cambridgeshire ;Car multi-byte;2021-12-25;productize panel
7;mission-critical monitor;grow Shara;Intelligent;archit;Jewelery Mouse;Auto;46325;bandwidth Healt;wireless Ohio Bedfordshire;2021-12-25;synthesizing Metical
8;Underpass Metal generate;Accounts;technologies Principal monitor;orange;Agent Brazilian Senegal;Fantastic Archi;70153;Chilean Brand;solid up Bedfordshire;2021-12-24;override port Grocery
9;Metrics Markets Consultant;Outdoors;Handcrafted Rial;blue S;Kyrgyz executive;Greens support ;16688;Sleek;hacking;2021-12-24;Administrator Account
10;Product markets;Mount mode;Car online;Rufiya;Berkshire synthesizing;Electronics Pal;63896;Generic Group O;Accounts drive;2021-12-25;payment
